Model,Condition,Missing Rate,Noise Sigma,RMSE,RMSE Degradation,RMSE Degradation (%)
Linear Regression,Baseline,0.0,0,929.178501935098,0.0,0.0
Random Forest,Baseline,0.0,0,316.02293880418364,0.0,0.0
XGBoost,Baseline,0.0,0,299.1661937088804,0.0,0.0
Linear Regression,Missing 10%,0.1,0,931.1451392609384,1.9666373258403385,0.2116533391317856
Random Forest,Missing 10%,0.1,0,346.0090870294863,29.986148225302657,9.48859862476087
XGBoost,Missing 10%,0.1,0,325.5812275746133,26.415033865732937,8.8295517412096
Linear Regression,Missing 20%,0.2,0,932.267123685136,3.088621750038101,0.3324034879848993
Random Forest,Missing 20%,0.2,0,369.1990956909914,53.1761568868078,16.826676281166154
XGBoost,Missing 20%,0.2,0,340.37286368507915,41.20666997619878,13.77383903754083
Linear Regression,Missing 30%,0.3,0,934.560538863255,5.382036928157049,0.579225295995169
Random Forest,Missing 30%,0.3,0,386.49983962943,70.47690082524639,22.301197847196715
XGBoost,Missing 30%,0.3,0,356.36557690622254,57.19938319734217,19.11960121169409
Linear Regression,Noise σ=1,0.0,1,929.2392682646536,0.0607663295555767,0.0065397907322463
Random Forest,Noise σ=1,0.0,1,328.75714720742513,12.734208403241496,4.029520278314973
XGBoost,Noise σ=1,0.0,1,312.993642548509,13.82744883962863,4.621995777064359
Linear Regression,Noise σ=2,0.0,2,930.0264246365188,0.8479227014208846,0.0912550924989126
Random Forest,Noise σ=2,0.0,2,354.96508525312765,38.942146448944015,12.322569556595898
XGBoost,Noise σ=2,0.0,2,335.6889251850719,36.52273147619155,12.208174668201965
Linear Regression,Noise σ=3,0.0,3,931.5017202634092,2.3232183283113272,0.2500292810771036
Random Forest,Noise σ=3,0.0,3,376.8146486030616,60.791709798877946,19.236486449025183
XGBoost,Noise σ=3,0.0,3,357.1998997266682,58.03370601778784,19.398483932399337
Linear Regression,Missing 10% + Noise σ=1,0.1,1,931.1564502501044,1.9779483150064152,0.2128706498145576
Random Forest,Missing 10% + Noise σ=1,0.1,1,355.8764476734152,39.85350886923152,12.610954451608915
XGBoost,Missing 10% + Noise σ=1,0.1,1,337.3913821270413,38.22518841816094,12.777241955138152
Linear Regression,Missing 10% + Noise σ=2,0.1,2,931.8139612086474,2.6354592735493725,0.2836332597085265
Random Forest,Missing 10% + Noise σ=2,0.1,2,376.8035588187989,60.780620014615295,19.23297727836036
XGBoost,Missing 10% + Noise σ=2,0.1,2,355.9166621193466,56.75046841046623,18.96954589250492
Linear Regression,Missing 10% + Noise σ=3,0.1,3,933.0732961276144,3.8947941925165424,0.4191653363057025
Random Forest,Missing 10% + Noise σ=3,0.1,3,392.9899679157752,76.9670291115915,24.35488683284549
XGBoost,Missing 10% + Noise σ=3,0.1,3,373.41432527028377,74.2481315614034,24.818356192228894
Linear Regression,Missing 20% + Noise σ=1,0.2,1,932.2250017820836,3.046499846985739,0.3278702467438849
Random Forest,Missing 20% + Noise σ=1,0.2,1,376.9928584696751,60.96991966549149,19.29287788291536
XGBoost,Missing 20% + Noise σ=1,0.2,1,350.8635039136497,51.69731020476934,17.28046527044301
Linear Regression,Missing 20% + Noise σ=2,0.2,2,932.7662799374674,3.5877780023694186,0.3861236559926373
Random Forest,Missing 20% + Noise σ=2,0.2,2,396.8098002946643,80.78686149048065,25.56360680530801
XGBoost,Missing 20% + Noise σ=2,0.2,2,366.61950537264863,67.45331166376826,22.54710361071321
Linear Regression,Missing 20% + Noise σ=3,0.2,3,933.851364849022,4.672862913924064,0.5029026074314468
Random Forest,Missing 20% + Noise σ=3,0.2,3,409.741685614498,93.71874681031431,29.6556785292048
XGBoost,Missing 20% + Noise σ=3,0.2,3,382.24023624571726,83.07404253683688,27.768526084760936
Linear Regression,Missing 30% + Noise σ=1,0.3,1,934.5666545791994,5.38815264410141,0.5798834812557648
Random Forest,Missing 30% + Noise σ=1,0.3,1,393.05140924662766,77.02847044244402,24.374328880655384
XGBoost,Missing 30% + Noise σ=1,0.3,1,364.23401898083097,65.0678252719506,21.74972528322111
Linear Regression,Missing 30% + Noise σ=2,0.3,2,935.0934282666276,5.9149263315295,0.6365758914149577
Random Forest,Missing 30% + Noise σ=2,0.3,2,411.1549426882089,95.1320038840252,30.10287931755852
XGBoost,Missing 30% + Noise σ=2,0.3,2,378.7196832605128,79.55348955163242,26.591737711195467
Linear Regression,Missing 30% + Noise σ=3,0.3,3,936.106580064648,6.928078129550045,0.7456132610818801
Random Forest,Missing 30% + Noise σ=3,0.3,3,422.7684533324777,106.74551452829404,33.77777414899507
XGBoost,Missing 30% + Noise σ=3,0.3,3,392.283369738594,93.11717602971362,31.12556765699478
