Feature,Coefficient,Absolute Coefficient,Direction
primary_use_Parking,-1576.0711093097043,1576.0711093097043,Negative
meter_0,-889.4424708341502,889.4424708341502,Negative
meter_1,889.4424708341502,889.4424708341502,Positive
primary_use_Education,531.6621430869571,531.6621430869571,Positive
square_feet,492.192638653889,492.192638653889,Positive
primary_use_Other,441.43901087113755,441.43901087113755,Positive
primary_use_Lodging/residential,262.32144750816644,262.32144750816644,Positive
dew_temperature,152.1737896380569,152.1737896380569,Positive
primary_use_Office,145.15039033495242,145.15039033495242,Positive
primary_use_Entertainment/public assembly,135.06322938378514,135.06322938378514,Positive
month,83.78715649407404,83.78715649407404,Positive
year_built,72.44489229295573,72.44489229295573,Positive
primary_use_Retail,60.434888124707356,60.434888124707356,Positive
hour,59.70644824796556,59.70644824796556,Positive
wind_speed,-14.921794551561156,14.921794551561156,Negative
precip_depth_1_hr,-9.205036567666365,9.205036567666365,Negative
dayofweek,-8.980412199144233,8.980412199144233,Negative
air_temperature,-7.500019748137503,7.500019748137503,Negative
wind_direction,7.3230600743192396,7.3230600743192396,Positive
sea_level_pressure,3.128731249186354,3.128731249186354,Positive
